ID,Task Type,Name,Main Duration,Main Start,Main End,Planned Duration,Planned Start,Planned End,Actual Duration,Actual Start,Actual End,Remaining Duration,Remaining Start,Remaining End,Main Equipment Cost,Main Material Cost,Main Labor Cost,Main Expense Cost,Main Total Cost,Planned Equipment Cost,Planned Material Cost,Planned Labor Cost,Planned Expense Cost,Planned Total Cost,Actual Equipment Cost,Actual Material Cost,Actual Labor Cost,Actual Expense Cost,Actual Total Cost,Remaining Equipment Cost,Remaining Material Cost,Remaining Labor Cost,Remaining Expense Cost,Remaining Total Cost,Predecessors,Successors,Constraint Type,Constraint Date,OutlineNumber,Task Source,Unique Id,Fuzor Id,Fuzor GUID,Fuzor Task Type Color,Fuzor Task State Color,사용자지정 열 1,사용자지정 열 2,사용자지정 열 3,사용자지정 열 4,사용자지정 열 5,사용자지정 열 6
A1100,Construction,경사갱 PI-6_강지보1,,,,,2025-01-16T00:00:00,2025-01-17T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.11,Fuzor 마이크로,11,11,F9471509097131859249,,,,,,,,
A1110,Construction,경사갱 PI-6_숏상반1,,,,,2025-01-17T00:00:00,2025-01-18T00:00:00,,,,1D,2025-04-01T00:00:00,2025-04-02T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Start No Earlier Than,,1.111,Fuzor 마이크로,12,12,F17619785066439437539,,,,,,,,
A1120,Demolish,경사갱 PI-6_하반굴착1,,,,,2025-01-18T00:00:00,2025-01-19T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.112,Fuzor 마이크로,13,13,,,,,,,,,
A1130,Construction,경사갱 PI-6_록하반1,,,,,2025-01-19T00:00:00,2025-01-20T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.113,Fuzor 마이크로,14,14,,,,,,,,,
A1140,Construction,경사갱 PI-6_숏하반1,,,,,2025-01-20T00:00:00,2025-01-21T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.114,Fuzor 마이크로,15,15,,,,,,,,,
A1150,Construction,경사갱 PI-6_그라우팅2,,,,,2025-01-21T00:00:00,2025-01-22T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.115,Fuzor 마이크로,16,16,,,,,,,,,
A1160,Demolish,경사갱 PI-6_상반굴착2,,,,,2025-01-22T00:00:00,2025-01-23T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.116,Fuzor 마이크로,17,17,,,,,,,,,
A1170,Construction,경사갱 PI-6_록상반2,,,,,2025-01-23T00:00:00,2025-01-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.117,Fuzor 마이크로,18,18,,,,,,,,,
A1180,Construction,경사갱 PI-6_강지보2,,,,,2025-01-24T00:00:00,2025-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.118,Fuzor 마이크로,19,19,,,,,,,,,
A1190,Construction,경사갱 PI-6_숏상반2,,,,,2025-01-25T00:00:00,2025-01-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.119,Fuzor 마이크로,20,20,,,,,,,,,
A1200,Demolish,경사갱 PI-6_하반굴착2,,,,,2025-01-26T00:00:00,2025-01-27T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.12,Fuzor 마이크로,21,21,,,,,,,,,
A1210,Construction,경사갱 PI-6_록하반2,,,,,2025-01-27T00:00:00,2025-01-28T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.121,Fuzor 마이크로,22,22,,,,,,,,,
A1220,Construction,경사갱 PI-6_숏하반2,,,,,2025-01-28T00:00:00,2025-01-29T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.122,Fuzor 마이크로,23,23,,,,,,,,,
A1230,Demolish,경사갱 PI-3_전단면굴착,,,,,2025-01-29T00:00:00,2025-01-30T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.123,Fuzor 마이크로,24,24,,,,,,,,,
A1240,Construction,경사갱 PI-3_록볼트,,,,,2025-01-30T00:00:00,2025-01-31T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.124,Fuzor 마이크로,25,25,,,,,,,,,
A1250,Construction,경사갱 PI-3_숏크리트,,,,,2025-01-31T00:00:00,2025-02-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.125,Fuzor 마이크로,26,26,,,,,,,,,
A1260,Demolish,경사갱 PI-2_전단면굴착,,,,,2025-02-01T00:00:00,2025-02-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.126,Fuzor 마이크로,27,27,,,,,,,,,
A1270,Construction,경사갱 PI-2_록볼트,,,,,2025-02-02T00:00:00,2025-02-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.127,Fuzor 마이크로,28,28,,,,,,,,,
A1280,Construction,경사갱 PI-2_숏크리트,,,,,2025-02-03T00:00:00,2025-02-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.128,Fuzor 마이크로,29,29,,,,,,,,,
A1290,Demolish,경사갱 PI-1_전단면굴착,,,,,2025-02-04T00:00:00,2025-02-05T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.129,Fuzor 마이크로,30,30,,,,,,,,,
A1300,Demolish,경사갱 방향전환소1_굴착,,,,,2025-02-05T00:00:00,2025-02-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.13,Fuzor 마이크로,31,31,,,,,,,,,
A1310,Demolish,경사갱 방향전환소2_굴착,,,,,2025-02-06T00:00:00,2025-02-07T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.131,Fuzor 마이크로,32,32,,,,,,,,,
A1320,Construction,경사갱 PI-1_록볼트,,,,,2025-02-07T00:00:00,2025-02-08T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.132,Fuzor 마이크로,33,33,,,,,,,,,
A1330,Construction,경사갱 PI-1_숏크리트,,,,,2025-02-08T00:00:00,2025-02-09T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.133,Fuzor 마이크로,34,34,,,,,,,,,
A1340,Construction,경사갱 방향전환소1_숏크리트,,,,,2025-02-09T00:00:00,2025-02-10T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.134,Fuzor 마이크로,35,35,,,,,,,,,
A1350,Construction,경사갱 방향전환소2_숏크리트,,,,,2025-02-10T00:00:00,2025-02-11T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.135,Fuzor 마이크로,36,36,,,,,,,,,
A1360,Demolish,축류팬실_분할굴착1_1,,,,,2025-02-11T00:00:00,2025-02-12T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.136,Fuzor 마이크로,37,37,,,,,,,,,
A1370,Demolish,축류팬실_분할굴착1_2,,,,,2025-02-12T00:00:00,2025-02-13T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.137,Fuzor 마이크로,38,38,,,,,,,,,
A1380,Demolish,축류팬실_분할굴착1_3,,,,,2025-02-13T00:00:00,2025-02-14T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.138,Fuzor 마이크로,39,39,,,,,,,,,
A1390,Construction,축류팬실_분할굴착1_2+3_록볼트,,,,,2025-02-14T00:00:00,2025-02-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.139,Fuzor 마이크로,40,40,,,,,,,,,
A1400,Construction,축류팬실_분할굴착1_2+3_강지보,,,,,2025-02-15T00:00:00,2025-02-16T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.14,Fuzor 마이크로,41,41,,,,,,,,,
A1410,Construction,축류팬실_분할굴착1_2+3_숏크리트,,,,,2025-02-16T00:00:00,2025-02-17T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.141,Fuzor 마이크로,42,42,,,,,,,,,
A1420,Demolish,축류팬실_분할굴착2_1,,,,,2025-02-17T00:00:00,2025-02-18T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.142,Fuzor 마이크로,43,43,,,,,,,,,
A1430,Demolish,축류팬실_분할굴착2_2,,,,,2025-02-18T00:00:00,2025-02-19T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.143,Fuzor 마이크로,44,44,,,,,,,,,
A1440,Demolish,축류팬실_분할굴착2_3,,,,,2025-02-19T00:00:00,2025-02-20T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.144,Fuzor 마이크로,45,45,,,,,,,,,
A1450,Construction,축류팬실_분할굴착2_2+3_록볼트,,,,,2025-02-20T00:00:00,2025-02-21T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.145,Fuzor 마이크로,46,46,,,,,,,,,
A1460,Construction,축류팬실_분할굴착2_2+3_강지보,,,,,2025-02-21T00:00:00,2025-02-22T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.146,Fuzor 마이크로,47,47,,,,,,,,,
A1470,Construction,축류팬실_분할굴착2_2+3_숏크리트,,,,,2025-02-22T00:00:00,2025-02-23T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.147,Fuzor 마이크로,48,48,,,,,,,,,
A1480,Demolish,축류팬실_분할굴착3_1,,,,,2025-02-23T00:00:00,2025-02-24T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.148,Fuzor 마이크로,49,49,,,,,,,,,
A1490,Demolish,축류팬실_분할굴착3_2,,,,,2025-02-24T00:00:00,2025-02-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.149,Fuzor 마이크로,50,50,,,,,,,,,
A1500,Demolish,축류팬실_분할굴착3_3,,,,,2025-02-25T00:00:00,2025-02-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.15,Fuzor 마이크로,51,51,,,,,,,,,
A1510,Construction,축류팬실_분할굴착3_2+3_록볼트,,,,,2025-02-26T00:00:00,2025-02-27T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.151,Fuzor 마이크로,52,52,,,,,,,,,
A1520,Construction,축류팬실_분할굴착3_2+3_강지보,,,,,2025-02-27T00:00:00,2025-02-28T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.152,Fuzor 마이크로,53,53,,,,,,,,,
A1530,Construction,축류팬실_분할굴착3_2+3_숏크리트,,,,,2025-02-28T00:00:00,2025-03-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.153,Fuzor 마이크로,54,54,,,,,,,,,
A1540,Demolish,축류팬실_분할굴착4_1,,,,,2025-03-01T00:00:00,2025-03-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.154,Fuzor 마이크로,55,55,,,,,,,,,
A1550,Demolish,축류팬실_분할굴착4_2,,,,,2025-03-02T00:00:00,2025-03-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.155,Fuzor 마이크로,56,56,,,,,,,,,
A1560,Demolish,축류팬실_분할굴착4_3,,,,,2025-03-03T00:00:00,2025-03-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.156,Fuzor 마이크로,57,57,,,,,,,,,
A1570,Construction,축류팬실_분할굴착4_2+3_록볼트,,,,,2025-03-04T00:00:00,2025-03-05T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.157,Fuzor 마이크로,58,58,,,,,,,,,
A1580,Construction,축류팬실_분할굴착4_2+3_강지보,,,,,2025-03-05T00:00:00,2025-03-06T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.158,Fuzor 마이크로,59,59,,,,,,,,,
A1590,Construction,축류팬실_분할굴착4_2+3_숏크리트,,,,,2025-03-06T00:00:00,2025-03-07T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start No Earlier Than,,1.159,Fuzor 마이크로,60,60,,,,,,,,,
